record_type,region_index,region_abbreviation,region_name,forcing,year,posterior_mean,lower_5th_percentile,upper_95th_percentile,observation,pearson_r,ar1_adjusted_p_value,significant_p_lt_0_05,n_observed_years,effective_n_ar1,units
posterior_response,0,GIC,Greenland/Iceland,ALL,1850,0.021107507755599775,-0.7309587430107902,0.7731737585219893,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1851,0.021690961515020812,-0.7202940233570271,0.7636759463870684,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1852,0.02227262903448235,-0.7096331475763374,0.7541784056453017,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1853,0.022849763157194225,-0.698980440338552,0.74467996665294,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1854,0.02341910335777908,-0.6883386916289282,0.735176898344486,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1855,0.023975635378184812,-0.6777141329990122,0.7256654037553815,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1856,0.024511599377948223,-0.6671192885934802,0.7161424873493764,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1857,0.025018292997474822,-0.6565686673742004,0.7066052533691496,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1858,0.025485546328647413,-0.6460792000869443,0.6970502927442387,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1859,0.025902015501191977,-0.6356666283412973,0.6874706593436809,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1860,0.026255237909824647,-0.6253475997972422,0.6778580756168912,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1861,0.02653215004023135,-0.6151391742340133,0.6682034743144757,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1862,0.026719592214553667,-0.605058422243723,0.65849760667283,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1863,0.02680440475493362,-0.5951224144184795,0.6487312239283464,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1864,0.026773427983513454,-0.585348221350392,0.6388950773174186,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1865,0.02661350222243475,-0.5757529136315724,0.6289799180764416,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1866,0.02631146779383975,-0.5663535618541287,0.6189764974418078,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1867,0.025854165019870257,-0.5571672366101723,0.6088755666499125,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1868,0.025228208186421353,-0.5482115306355433,0.5986679470083857,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1869,0.024419307434401127,-0.5395061252409995,0.5883447401098015,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1870,0.023412946868470508,-0.5310712238810347,0.5778971176179754,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1871,0.022194610593290864,-0.5229270300101382,0.5673162511967196,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1872,0.020750617247867642,-0.515091819308465,0.5565930538042,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1873,0.01907151896261039,-0.5075740880910269,0.5457171260162473,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1874,0.017152871962272886,-0.5003707732149008,0.5346765171394463,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1875,0.014993480401229053,-0.49347130881974,0.5234582696221978,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1876,0.012592736577751396,-0.48686377043279333,0.5120492435882958,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1877,0.00995003279011164,-0.48054245667591006,0.5004425222561331,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1878,0.007067713198447123,-0.4745203618166859,0.4886557882135799,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1879,0.00396069971999613,-0.4687911109829871,0.47671251042297913,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1880,0.000649947372446058,-0.46333891135499566,0.4646388060998875,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1881,-0.00283988745376762,-0.4581403940533731,0.45246061914583763,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1882,-0.006472424115798958,-0.45314823011725164,0.44020338188565344,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1883,-0.010208350907699337,-0.44832264542404165,0.4279059436086427,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1884,-0.01400835612351925,-0.44363432410421366,0.41561761185717494,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1885,-0.01783217392127112,-0.43905358006187223,0.40338923221932976,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1886,-0.02163572191481089,-0.4345449041414009,0.3912734603117789,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1887,-0.025373963581955983,-0.4300825557620642,0.37933462859815203,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1888,-0.029001862400523826,-0.42564378750040205,0.3676400626993542,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1889,-0.03247438184833129,-0.4212058519329567,0.35625708823629393,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1890,-0.03574648540319558,-0.416746001636273,0.3452530308298816,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1891,-0.03877060657404563,-0.4122356449587567,0.33469443181066527,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1892,-0.04148905899425437,-0.407622813336288,0.3246446953477791,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1893,-0.04384162632830679,-0.40284969397661047,0.3151664413199967,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1894,-0.045768092240686786,-0.3978564536486038,0.30632026916723004,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1895,-0.04720824039587923,-0.3925812341430731,0.2981647533513144,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1896,-0.04810394211108637,-0.3869892063992303,0.2907813221770574,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1897,-0.04840541931438269,-0.3810708880447786,0.28426004941601307,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1898,-0.048064981586560585,-0.3748216191851941,0.27869165601207274,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1899,-0.047034225205393465,-0.3682350921959812,0.2741666417851941,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1900,-0.04526189323658236,-0.36129840853275963,0.27077462205959474,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1901,-0.04269605247146513,-0.35399678938492996,0.26860468444199953,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1902,-0.03928552717944067,-0.34631593342646,0.2677448790675785,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1903,-0.034981616112336966,-0.3382469373132964,0.2682837050886223,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1904,-0.02973752769273763,-0.32978631071918213,0.27031125533370676,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1905,-0.023511671572484127,-0.32094198880623775,0.27391864566126933,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1906,-0.01626778617589375,-0.311711059745362,0.27917548739357434,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1907,-0.007985723787935828,-0.30208838268656746,0.28611693511069564,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1908,0.001350276249513116,-0.29202613511619085,0.2947266876152169,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1909,0.011753122426160445,-0.2814713225572047,0.3049775674095254,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1910,0.023222881952729146,-0.27039620147741494,0.3168419653828731,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1911,0.03573095831250117,-0.25882159191656406,0.33028350854156624,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1912,0.04924194350725675,-0.2467689301179915,0.34525281713250483,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1913,0.06372042953877599,-0.23421682868882182,0.36165768776637364,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1914,0.07913100840883913,-0.22113319432712536,0.37939521114480346,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1915,0.09543827211922629,-0.2074859337309749,0.3983624779694273,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1916,0.11260681267171735,-0.19324295359844107,0.4184565789418756,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1917,0.13060122206809271,-0.17837216062759276,0.439574604763778,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1918,0.1493817122343048,-0.16285157949166262,0.46161500396027205,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1919,0.16889097479299592,-0.14669970676452954,0.4844816563505212,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1920,0.18906732129097942,-0.12993151697733835,0.508066159559297,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1921,0.209847181778057,-0.11251177084771485,0.5322061344038287,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1922,0.23115589200295905,-0.09442240298058174,0.5567341869864997,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1923,0.2528990674370139,-0.07571164610052977,0.5815097809745574,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1924,0.27496449312525206,-0.05646785336889126,0.6063968396193952,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1925,0.2972360645019908,-0.03676334727683023,0.6312354762808117,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1926,0.3195963806719756,-0.016667190919094577,0.6558599522630455,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1927,0.34192527447550436,0.003745162538696223,0.6801053864123123,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1928,0.364092810024656,0.02437569416872981,0.7038099258805819,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1929,0.38596660924945436,0.04512074360265528,0.7268124748962532,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1930,0.4074142940799229,0.06587478550213721,0.7489538026577084,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1931,0.42830348644608573,0.08652081277291895,0.7700861601192523,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1932,0.44849854641239395,0.10691633093729352,0.7900807618874942,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1933,0.4678507865810073,0.12688468400366637,0.808816889158348,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1934,0.48620825768851356,0.14623826472942336,0.8261782506476036,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1935,0.5034232336392268,0.16476877945011414,0.8420776878283394,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1936,0.5193674045099327,0.18224226322575443,0.8564925457941108,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1937,0.5339322384855383,0.19845366197302178,0.8694108149980546,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1938,0.5470335709890923,0.21325420992869748,0.8808129320494871,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1939,0.5585975294567537,0.2265189158798538,0.8906761430336534,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1940,0.5685695656405421,0.238167427783195,0.898971703497889,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1941,0.5768999623714437,0.24812250891656867,0.9056774158263186,,,,,,,degC
posterior_response,0,GIC,Greenland/Iceland,ALL,1942,0.583552763293032,0.25629494406024583,0.9108105825258179,,,,,,,degC
